nodeid,rdtimestamp,rssi,snr
tinovi-04,1742791500,-73.0,8.0
tinovi-05,1742791500,-79.5,8.4
tinovi-06,1742791500,-80.0,8.6
milesight-01,1742792400,-80.0,9.0
milesight-02,1742792400,-79.0,8.0
tinovi-01,1742792400,-79.0,8.0
tinovi-02,1742792400,-73.0,8.3
tinovi-03,1742792400,-90.0,8.0
tinovi-04,1742792400,-71.0,8.0
tinovi-05,1742792400,-78.0,9.0
tinovi-06,1742792400,-80.0,9.0
milesight-01,1742793300,-79.5,9.1
milesight-02,1742793300,-92.5,7.8
tinovi-01,1742793300,-81.0,9.9
tinovi-02,1742793300,-71.0,9.8
tinovi-03,1742793300,-85.0,9.0
tinovi-04,1742793300,-73.5,9.5
tinovi-05,1742793300,-79.5,10.1
tinovi-06,1742793300,-79.5,8.3
milesight-01,1742794200,-83.0,10.8
milesight-02,1742794200,-83.0,8.0
tinovi-01,1742794200,-78.0,8.0
tinovi-02,1742794200,-72.5,8.8
tinovi-03,1742794200,-87.0,7.9
tinovi-04,1742794200,-73.0,10.0
tinovi-05,1742794200,-77.0,8.0
tinovi-06,1742794200,-79.0,9.5
milesight-01,1742795100,-81.0,9.4
milesight-02,1742795100,-86.0,10.5
tinovi-01,1742795100,-79.0,9.1
tinovi-02,1742795100,-74.0,9.8
tinovi-03,1742795100,-89.0,8.8
tinovi-04,1742795100,-73.5,8.3
tinovi-05,1742795100,-81.0,9.1
tinovi-06,1742795100,-78.5,8.1
milesight-01,1742796000,-78.0,9.5
milesight-02,1742796000,-85.0,7.8
tinovi-01,1742796000,-81.0,10.3
tinovi-02,1742796000,-73.5,8.6
tinovi-03,1742796000,-90.5,8.6
tinovi-04,1742796000,-72.0,8.8
tinovi-05,1742796000,-78.0,7.3
tinovi-06,1742796000,-79.0,8.5
milesight-01,1742796900,-78.5,9.5
milesight-02,1742796900,-79.0,8.4
tinovi-01,1742796900,-77.0,8.5
tinovi-02,1742796900,-72.0,7.3
tinovi-03,1742796900,-93.0,6.8
tinovi-04,1742796900,-72.5,8.4
tinovi-05,1742796900,-80.0,9.4
tinovi-06,1742796900,-80.0,9.4
milesight-01,1742797800,-81.0,9.8
milesight-02,1742797800,-83.0,9.8
tinovi-01,1742797800,-80.0,8.5
tinovi-02,1742797800,-72.0,9.8
tinovi-03,1742797800,-89.0,9.5
tinovi-04,1742797800,-72.0,9.0
tinovi-05,1742797800,-78.0,9.3
tinovi-06,1742797800,-80.0,7.0
milesight-01,1742798700,-78.5,9.6
milesight-02,1742798700,-77.5,9.5
tinovi-01,1742798700,-80.5,9.1
tinovi-02,1742798700,-73.0,7.5
tinovi-03,1742798700,-87.0,7.3
tinovi-04,1742798700,-73.5,9.1
tinovi-05,1742798700,-77.5,8.5
tinovi-06,1742798700,-77.5,9.0
milesight-01,1742799600,-74.0,9.5
milesight-02,1742799600,-81.0,7.5
tinovi-01,1742799600,-81.0,10.0
tinovi-02,1742799600,-72.0,9.5
tinovi-03,1742799600,-88.5,9.3
tinovi-04,1742799600,-72.0,6.8
tinovi-05,1742799600,-81.0,10.0
tinovi-06,1742799600,-79.0,6.8
milesight-01,1742800500,-79.0,9.8
milesight-02,1742800500,-77.5,8.5
tinovi-01,1742800500,-80.5,9.9
tinovi-02,1742800500,-74.0,9.0
tinovi-03,1742800500,-92.0,8.8
tinovi-04,1742800500,-74.0,9.0
tinovi-05,1742800500,-79.5,9.0
tinovi-06,1742800500,-79.5,8.9
milesight-01,1742801400,-78.0,9.3
milesight-02,1742801400,-77.0,10.3
tinovi-01,1742801400,-80.0,9.8
tinovi-02,1742801400,-73.0,8.0
tinovi-03,1742801400,-93.5,8.3
tinovi-04,1742801400,-71.5,7.9
tinovi-05,1742801400,-80.0,9.8
tinovi-06,1742801400,-81.0,9.8
milesight-01,1742802300,-76.0,9.3
milesight-02,1742802300,-79.5,9.6
tinovi-01,1742802300,-82.0,8.3
tinovi-02,1742802300,-71.0,9.5
tinovi-03,1742802300,-91.0,9.8
tinovi-04,1742802300,-72.0,8.8
tinovi-05,1742802300,-79.5,9.8
tinovi-06,1742802300,-80.0,7.8
milesight-01,1742803200,-77.0,9.3
milesight-02,1742803200,-79.0,7.5
tinovi-01,1742803200,-83.0,10.8
tinovi-02,1742803200,-70.0,8.6
tinovi-03,1742803200,-87.0,8.8
tinovi-04,1742803200,-73.0,8.9
tinovi-05,1742803200,-78.0,9.8
tinovi-06,1742803200,-78.0,9.3
milesight-01,1742804100,-78.0,8.6
milesight-02,1742804100,-83.5,8.8
tinovi-01,1742804100,-80.5,8.4
tinovi-02,1742804100,-71.0,9.0
