nodeid,rdtimestamp,rssi,snr
milesight-01,1711256400,-70.5,9.5
milesight-02,1711256400,-82.0,9.9
tinovi-01,1711256400,-75.0,7.3
tinovi-02,1711256400,-75.0,7.5
tinovi-03,1711256400,-79.0,8.5
tinovi-04,1711256400,-93.0,8.0
tinovi-05,1711256400,-74.0,10.0
tinovi-06,1711256400,-81.0,7.0
milesight-01,1711257300,-73.0,10.3
milesight-02,1711257300,-80.0,6.8
tinovi-01,1711257300,-77.0,9.9
tinovi-02,1711257300,-74.0,8.8
tinovi-03,1711257300,-79.0,8.0
tinovi-04,1711257300,-93.0,9.3
tinovi-05,1711257300,-73.5,9.4
tinovi-06,1711257300,-83.0,9.3
milesight-01,1711258200,-69.5,7.6
milesight-02,1711258200,-83.0,9.0
tinovi-01,1711258200,-77.0,10.0
tinovi-02,1711258200,-73.0,7.0
tinovi-03,1711258200,-79.0,9.5
tinovi-04,1711258200,-98.0,6.6
tinovi-05,1711258200,-74.0,7.8
tinovi-06,1711258200,-81.0,7.3
milesight-01,1711259100,-73.0,10.0
milesight-02,1711259100,-87.0,8.8
tinovi-01,1711259100,-75.5,8.8
tinovi-02,1711259100,-76.0,9.3
tinovi-03,1711259100,-79.0,8.8
tinovi-04,1711259100,-99.0,7.0
tinovi-05,1711259100,-73.0,9.5
tinovi-06,1711259100,-82.5,8.8
milesight-01,1711260000,-71.0,9.6
milesight-02,1711260000,-81.0,9.8
tinovi-01,1711260000,-78.0,9.8
tinovi-02,1711260000,-78.0,8.5
tinovi-03,1711260000,-83.0,9.8
tinovi-04,1711260000,-95.0,5.1
tinovi-05,1711260000,-73.0,7.5
tinovi-06,1711260000,-81.0,7.3
milesight-01,1711260900,-72.0,8.8
milesight-02,1711260900,-77.0,8.5
tinovi-01,1711260900,-77.0,10.3
tinovi-02,1711260900,-79.0,9.0
tinovi-03,1711260900,-81.0,9.5
tinovi-04,1711260900,-92.0,6.5
tinovi-05,1711260900,-73.0,8.9
tinovi-06,1711260900,-81.5,7.5
milesight-01,1711261800,-73.0,8.6
milesight-02,1711261800,-80.5,10.0
tinovi-01,1711261800,-75.5,8.8
tinovi-02,1711261800,-75.5,8.4
tinovi-03,1711261800,-79.0,6.8
tinovi-04,1711261800,-96.0,8.6
tinovi-05,1711261800,-75.0,9.8
tinovi-06,1711261800,-81.0,8.0
milesight-01,1711262700,-71.0,8.8
milesight-02,1711262700,-86.0,9.5
tinovi-01,1711262700,-77.0,9.8
tinovi-02,1711262700,-77.0,8.8
tinovi-03,1711262700,-78.5,9.0
tinovi-04,1711262700,-99.0,6.3
tinovi-05,1711262700,-73.5,8.6
tinovi-06,1711262700,-82.0,8.0
milesight-01,1711263600,-71.5,9.8
